,type,product,date,description,amount,balance
0,Transfer,Savings,2024-07-03 14:07:48,To pocket RON mate from RON,150.0,150.0
1,Transfer,Savings,2024-07-03 14:08:08,To pocket RON info from RON,150.0,300.0
2,Transfer,Savings,2024-07-03 14:08:14,To pocket RON info from RON,150.0,450.0
3,Transfer,Savings,2024-07-03 14:08:22,To pocket RON mate from RON,150.0,600.0
4,Transfer,Savings,2024-07-18 13:56:08,Pocket Withdrawal,-150.0,450.0
5,Transfer,Savings,2024-07-18 17:02:51,Pocket Withdrawal,-140.0,310.0
6,Transfer,Savings,2024-07-22 10:09:03,Pocket Withdrawal,-10.0,300.0
7,Transfer,Savings,2024-07-22 10:09:09,Pocket Withdrawal,-150.0,150.0
8,Transfer,Savings,2024-07-26 21:23:28,Pocket Withdrawal,-100.0,50.0
9,Transfer,Savings,2024-07-27 19:37:45,Pocket Withdrawal,-50.0,0.0
10,Transfer,Savings,2024-09-09 22:00:50,To pocket RON iexamen from RON,300.0,300.0
11,Transfer,Savings,2024-09-26 07:42:21,Pocket Withdrawal,-12.0,288.0
12,Transfer,Savings,2024-10-03 10:46:14,Pocket Withdrawal,-288.0,0.0
13,Transfer,Current,2024-06-29 13:22:40,Revolut Bank UAB,89.49,89.49
14,Transfer,Current,2024-06-29 13:23:41,Revolut Bank UAB,-0.01,89.48
15,Transfer,Current,2024-07-01 12:40:43,Revolut Bank UAB,370.0,459.48
16,Card Payment,Current,2024-07-01 12:46:15,Extasy,-75.0,384.48
17,Card Payment,Current,2024-07-01 14:09:47,Superbet,-20.0,364.48
18,Card Payment,Current,2024-07-02 12:40:50,Restaurant Sat Boss,-14.0,350.48
19,Transfer,Current,2024-07-03 14:05:57,Revolut Bank UAB,1900.38,2250.86
20,Transfer,Current,2024-07-03 14:07:48,To pocket RON mate from RON,-150.0,2100.86
21,Transfer,Current,2024-07-03 14:08:08,To pocket RON info from RON,-150.0,1950.86
22,Transfer,Current,2024-07-03 14:08:14,To pocket RON info from RON,-150.0,1800.86
23,Transfer,Current,2024-07-03 14:08:22,To pocket RON mate from RON,-150.0,1650.86
24,Card Payment,Current,2024-07-03 18:01:03,5ToGo,-5.5,1645.36
25,Card Payment,Current,2024-07-03 10:16:01,Lime,-4.21,1641.15
26,Card Payment,Current,2024-07-03 17:32:12,Metrorex,-3.0,1638.15
27,Card Payment,Current,2024-07-04 21:49:33,MKN Dual Modern,-27.5,1610.65
28,Card Payment,Current,2024-07-04 20:13:32,Mega Image,-45.38,1565.27
29,Card Payment,Current,2024-07-04 12:03:55,ZEMAN maso - uzeniny,-8.0,1557.27
30,Card Payment,Current,2024-07-04 09:50:49,ROM SEP S.R.L.,-50.0,1507.27
31,Card Payment,Current,2024-07-04 12:08:25,Fornetti,-6.0,1501.27
32,Transfer,Current,2024-07-05 13:45:12,Revolut Bank UAB,55.0,1556.27
33,Card Payment,Current,2024-07-04 15:15:21,Uber,-14.94,1541.33
34,Card Payment,Current,2024-07-04 22:26:16,Neversea 221,-100.0,1441.33
35,Transfer,Current,2024-07-05 20:46:59,Revolut Bank UAB,21.0,1462.33
36,Transfer,Current,2024-07-06 04:08:35,Revolut Bank UAB,-50.0,1412.33
37,Card Payment,Current,2024-07-04 13:05:39,CFR Călători,-5.5,1406.83
38,Card Payment,Current,2024-07-04 14:39:59,CFR Călători,-10.5,1396.33
39,Card Payment,Current,2024-07-05 20:43:56,MKN Dual Modern,-35.0,1361.33
40,Card Payment,Current,2024-07-05 15:12:35,Avanti Junior Srl,-24.0,1337.33
41,Card Payment,Current,2024-07-04 19:37:52,CT BUS,-2.5,1334.83
42,Card Payment,Current,2024-07-05 13:41:33,McDonald's,-26.5,1308.33
43,Transfer,Current,2024-07-06 14:59:58,To stefan caradeanu,-80.0,1228.33
44,Card Payment,Current,2024-07-04 23:54:50,Neversea 241,-100.0,1128.33
45,Card Payment,Current,2024-07-05 04:02:14,Profi,-23.83,1104.5
46,Card Payment,Current,2024-07-05 20:41:55,Profi,-59.53,1044.97
47,Transfer,Current,2024-07-07 04:02:18,Revolut Bank UAB,-30.0,1014.97
48,Transfer,Current,2024-07-07 04:08:37,Revolut Bank UAB,-20.0,994.97
49,Card Payment,Current,2024-07-05 22:52:07,Neversea 225,-100.0,894.97
50,Transfer,Current,2024-07-07 19:36:37,Revolut Bank UAB,36.0,930.97
51,Card Payment,Current,2024-07-06 18:31:46,Profi,-37.77,893.2
52,Card Payment,Current,2024-07-06 15:28:11,Profi,-49.65,843.55
53,Card Payment,Current,2024-07-07 16:06:39,Pizza Hut,-50.0,793.55
54,Card Payment,Current,2024-07-07 00:05:46,Neversea 233,-70.0,723.55
55,Card Payment,Current,2024-07-07 03:02:22,Neversea 247,-50.0,673.55
56,Transfer,Current,2024-07-08 19:29:54,Revolut Bank UAB,-40.0,633.55
57,Card Payment,Current,2024-07-07 20:10:49,Profi,-52.83,580.72
58,Card Payment,Current,2024-07-07 23:23:25,MKN Dual Modern,-15.0,565.72
59,Card Payment,Current,2024-07-07 18:45:33,One Premium Serv,-20.0,545.72
60,Card Payment,Current,2024-07-05 23:29:31,Ana Modern,-37.0,508.72
